x_um,y_um
1970.7362215799064,393.7258898728193
1972.5511938783413,392.2676654454681
1974.3661661767765,390.82078190688514
1976.1811384752114,389.38648067688257
1977.9961107736463,387.9660031752716
1979.8110830720811,386.5605908218641
1981.626055370516,385.1714850364715
1983.441027668951,383.79992723890564
1985.255999967386,382.4471588489775
1987.070972265821,381.11442128649946
1988.8859445642559,379.8029559712828
1990.7009168626907,378.51400432313915
1992.5158891611256,377.2488077618801
1994.3308614595605,376.00860800096535
1996.1458337579957,374.7949714297355
1997.9608060564306,373.61040985806966
1999.7757783548655,372.4576062334262
2001.5907506533003,371.33924350326356
2003.4057229517352,370.2580046150403
2005.2206952501701,369.2165725162149
2007.0356675486053,368.21763015424585
2008.8506398470402,367.2638604765918
2010.665612145475,366.3579464307112
2012.48058444391,365.5025709640626
2014.2955567423448,364.7004170241043
2016.1105290407797,363.95416755829507
2017.9255013392149,363.2665055140933
2019.7404736376498,362.64011383895763
2021.5554459360847,362.0776754803464
2023.3704182345195,361.5818733857183
2025.1853905329544,361.1553905025317
2027.0003628313893,360.8009097782453
2028.8153351298245,360.5211141603174
2030.6303074282594,360.3186865960099
2032.4452797266943,360.19550458106613
2034.2602520251291,360.1502840211704
2036.075224323564,360.1809651981806
2037.890196621999,360.2854883939548
2039.705168920434,360.46179389035075
2041.520141218869,360.70782196922636
2043.3351135173039,361.0215129124398
2045.1500858157387,361.40080700184876
2046.9650581141736,361.8436445193112
2048.7800304126085,362.34796574668525
2050.595002711044,362.9117109658288
2052.4099750094783,363.5328204585994
2054.2249473079137,364.2092345068556
2056.039919606348,364.93889339245464
2057.8548919047835,365.71973739725524
2059.669864203218,366.5497068031145
2061.4848365016533,367.42674189189114
2063.299808800088,368.34878294544257
2065.114781098523,369.3137702456269
2066.929753396958,370.31964407430195
2068.744725695393,371.36434471332575
2070.5596979938277,372.44581244455634
2072.3746702922626,373.56198754985144
2074.189642590698,374.71081031106945
2076.0046148891324,375.89022101006725
2077.819587187568,377.09815992870404
2079.634559486002,378.3325673488367
2081.4495317844376,379.59138355232415
2083.264504082872,380.8725488210233
2085.0794763813074,382.1740034367931
2086.8944486797423,383.4936876814907
2088.709420978177,384.82954183697433
2090.524393276612,386.17950618510173
2092.339365575047,387.5415210077312
2094.154337873482,388.9135265867204
2095.9693101719167,390.29346320392744
2097.784282470352,391.6792711412104
2099.5992547687865,393.0688906804262
2101.414227067222,394.4602621034343
2103.2291993656563,395.8513256920912
2105.0441716640917,397.24002172825624
2106.8591439625266,398.6242904937862
2108.6741162609615,400.0020722705394
2110.4890885593964,401.37130734037385
